1140	985	1119	1064	1060	1028	941	1047	1132	991	1086
1144	1026	1152	1181	1087	1141	985	1094	1176	1011	1093
1162	1040	1173	1288	1107	1147	1063	1122	1189	1014	1104
1169	1139	1208	1294	1112	1160	1190	1168	1193	1084	1115
1195	1182	1220	1294	1172	1162	1232	1186	1249	1096	1119
1200	1236	1257	1301	1212	1164	1239	1221	1268	1113	1143
1222	1239	1258	1313	1214	1167	1242	1228	1303	1142	1250
1230	1257	1259	1326	1225	1237	1251	1256	1320	1159	1268
1237	1262	1263	1330	1230	1243	1304	1286	1331	1188	1283
1256	1283	1296	1332	1240	1245	1327	1303	1332	1194	1303
1259	1286	1298	1353	1263	1259	1329	1313	1333	1207	1327
1293	1296	1330	1356	1295	1265	1333	1354	1348	1228	1337
1336	1313	1333	1356	1309	1325	1349	1355	1351	1238	1376
1339	1323	1338	1372	1323	1327	1358	1356	1356	1245	1377
1359	1353	1344	1374	1330	1333	1382	1357	1376	1264	1426
1370	1355	1351	1392	1343	1365	1391	1386	1410	1267	1442
1371	1362	1370	1411	1363	1378	1394	1386	1434	1281	1461
1376	1366	1382	1433	1387	1407	1437	1397	1442	1291	1477
1420	1367	1389	1434	1409	1426	1474	1403	1447	1303	1482
1465	1442	1411	1440	1439	1429	1486	1436	1459	1376	1482
1466	1454	1434	1449	1447	1459	1498	1437	1474	1400	1493
1541	1518	1441	1451	1467	1491	1506	1528	1505	1467	1521
1579	1565	1470	1496	1565	1546	1596	1593	1524	1526	1537
1599	1614	1485	1499	1569	1560	1651	1637	1565	1550	1631
1641	1665	1694	1544	1574	1562	1779	1756	1654	1628	1632
18.36	18.36	19.48	19.44	17.24	18.96	18.28	18.56	18.08	17.52	17.96
18.96	18.16	18.36	18.52	18.6	19.12	18.32	19.44	20.12	18.24	18.48
18.68	18.28	18.52	19.52	17.68	19.16	18.84	19.2	18.52	17.88	18.52
18.2	19.32	18.88	19.76	17.84	18.96	18.24	18.44	19.72	19.32	18.04
18.64	18.8	17.64	19.6	18.64	18.76	19.12	19.76	18.64	18.48	18.32
18	18.76	19.48	20.04	18.72	20.2	18.88	18.56	18.92	17.12	19.68
18.84	19.32	18.96	18.68	19.04	18.6	20.04	19.4	18.56	18.12	18.68
18.76	19.2	19.08	19.52	18.2	18.72	18.12	19.24	18.76	18.44	19.04
19.96	18.92	19.32	18.92	16.52	17.92	18.96	19.72	18.4	19.28	19.04
17.76	18.36	18.92	19.04	18.72	17.64	18.64	18.6	19.12	19.12	19.92
19	18.72	18.48	19.56	18.64	18.64	19.48	18.52	18.56	18.88	18.8
19.12	19.88	18.6	18.04	18.6	17.96	17.88	19.44	17.32	18.6	20.24
19.48	19.24	18.2	18.96	19.32	18.44	19	19.24	18.8	19.32	18.6
19.24	19.24	19.04	19.36	17.48	19.56	18.36	19.96	18.6	18	19.64
20.08	19.8	18.84	19.48	17.96	19.24	19.4	19.44	19.12	19	19.6
18.12	18.76	19.28	19.04	17.8	18.88	18.96	19.16	19.16	18.04	20
18.84	19	19.2	19.12	19.36	19.36	18.8	19.04	19.56	19.48	19.84
19.04	19.56	18.52	19.4	18.76	18.84	19.36	19.08	19.08	19.68	19.48
19.8	19.08	19.44	18.96	19.12	19.44	18.88	19.96	18.88	19.08	19.12
18.92	18.44	19.2	19	19.32	19.4	17.76	18.64	18.84	18.52	19.08
18.04	19.2	18.88	19.56	18.4	18.08	18.12	18.8	18.36	18.52	19.36
18.36	19.84	19.28	19.88	19.2	19.24	19.4	19.4	19.24	19.76	19.44
19.96	19.8	20.4	19.28	19.04	19.12	19.04	19.4	19.36	19.2	20.08
20.52	19.12	19.44	19.44	19.68	19.04	19.92	19.88	19.48	18.8	19.04
20.08	19.24	20.72	18.76	19.08	20.72	20.2	20.04	19.8	19.32	19.48
0	previous	instance:	data/A-n33-k5.vrp							
1489	1477	1464	1665	1679	1443	1528	1569	1591	1621	1570
1573	1573	1576	1746	1727	1591	1632	1603	1613	1640	1665
1774	1638	1592	1748	1782	1653	1677	1703	1621	1687	1712
1781	1671	1669	1750	1833	1680	1689	1714	1635	1694	1733
1781	1699	1720	1784	1864	1715	1820	1721	1642	1720	1786
1796	1714	1722	1802	1918	1754	1835	1728	1718	1741	1835
1849	1748	1745	1816	1944	1796	1838	1809	1765	1831	1869
1853	1765	1777	1882	1955	1912	1881	1817	1771	1839	1884
1872	1768	1779	1897	1963	1913	1892	1880	1786	1840	1897
1874	1808	1781	1912	1992	1917	1928	1885	1865	1889	1900
1877	1810	1799	1929	1998	1928	1947	1888	1893	1890	1902
1885	1842	1827	1930	2001	1954	1972	1906	1910	1898	1909
1896	1860	1829	1945	2009	1974	2001	1946	1937	1907	1931
1922	1915	1852	1948	2015	1996	2021	2061	1989	1923	1936
1942	1925	1868	1984	2021	2041	2021	2073	1999	1947	1941
1960	1928	1898	1993	2023	2044	2024	2077	2001	2007	1965
2058	1958	1906	1998	2040	2044	2053	2077	2015	2009	1983
2065	1974	1920	2053	2085	2077	2055	2132	2028	2010	1993
2083	1997	2022	2061	2097	2091	2076	2147	2036	2017	2042
2107	2005	2025	2086	2132	2115	2089	2153	2051	2023	2088
2115	2013	2034	2094	2154	2116	2175	2165	2064	2032	2104
2142	2082	2062	2180	2180	2145	2178	2169	2076	2056	2135
2159	2138	2073	2224	2184	2145	2251	2241	2113	2057	2150
2207	2140	2137	2241	2339	2165	2269	2259	2176	2159	2185
2215	2274	2272	2368	2419	2176	2310	2264	2450	2161	2380
28.4	27.68	28.76	28.96	28.48	28.28	27.68	27.32	27.88	27.84	30.04
28.84	28.68	28.4	29.16	29.16	27.4	29.12	28.28	27.68	28.12	28.72
28.72	28.52	27.92	29.36	29.72	28.96	28.12	28.92	28.12	28.56	28.16
28.4	28.12	28.08	28.72	27.88	28.68	29.8	27.88	28.32	28.84	29.72
28.24	27.84	29.32	29.36	29.56	28.4	28.6	28.36	28.88	29.6	28.68
28.48	28.72	28.2	29.16	28.92	29.4	29.8	28	28.12	27.52	28.32
28.68	28.64	29.12	29.52	27.8	28.88	28.96	28	27.68	29.56	29.12
28.52	29.36	29.28	29.4	29	29.4	29.4	27.2	28	30.16	29.44
28.96	28.16	28.04	29.76	28.68	29.2	28.64	28.2	27.16	28.48	29
