936	1055	1123	1048	1134	991	882	1047	974	1015	1023
1059	1092	1161	1051	1155	1033	1043	1076	1094	1048	1071
1064	1122	1166	1079	1175	1086	1070	1081	1140	1075	1156
1116	1125	1181	1112	1182	1145	1117	1097	1185	1101	1159
1151	1127	1187	1154	1224	1161	1133	1151	1216	1104	1164
1179	1190	1197	1183	1244	1206	1137	1188	1216	1119	1176
1192	1233	1199	1184	1262	1211	1155	1205	1227	1141	1188
1202	1239	1200	1185	1266	1257	1190	1223	1227	1164	1211
1205	1245	1217	1186	1284	1263	1205	1232	1260	1166	1232
1232	1268	1227	1186	1285	1283	1216	1256	1268	1166	1245
1254	1277	1240	1188	1288	1283	1223	1264	1278	1181	1254
1269	1320	1243	1272	1305	1300	1267	1295	1301	1252	1287
1271	1329	1248	1276	1364	1312	1286	1297	1321	1296	1301
1281	1346	1268	1282	1372	1326	1296	1299	1322	1300	1302
1289	1352	1310	1292	1379	1342	1338	1308	1341	1306	1308
1294	1359	1344	1314	1379	1350	1340	1308	1359	1306	1317
1313	1362	1347	1333	1409	1382	1367	1319	1371	1327	1330
1315	1383	1354	1343	1415	1406	1372	1320	1441	1333	1337
1336	1391	1365	1346	1426	1428	1378	1348	1442	1356	1354
1348	1428	1370	1373	1469	1453	1466	1373	1454	1398	1371
1378	1452	1402	1374	1479	1454	1483	1453	1508	1426	1435
1388	1461	1448	1425	1520	1455	1513	1478	1526	1426	1440
1456	1466	1480	1497	1563	1506	1590	1596	1609	1468	1444
1484	1512	1603	1515	1575	1510	1593	1650	1630	1483	1467
1503	1614	1701	1642	1582	1524	1601	1694	1713	1589	1581
17.84	18.68	17.64	18.48	17.88	18.4	18.08	18.84	17.76	17.08	18.24
17.68	18.44	18.52	18.4	19.24	17.8	17.4	18.52	18.56	17.44	18.4
18.8	19.72	19.2	18.48	19.12	18.2	18.64	19.08	17.84	18.36	18.4
18.12	18.92	18.96	19.56	18.92	18.64	18.64	18.48	18.84	18.4	17.72
18.84	17.64	18.48	18.64	18.24	17.52	18.28	18.52	18.76	18.2	18.8
19.4	18.68	17.72	19.96	19.4	19.52	18.84	19.16	18.32	18.96	19.32
18.12	18.96	19.52	19.12	19.84	19.76	19.2	18.72	18.96	18.12	18.92
18.76	18.48	19.2	18.8	19	18.68	17.72	18	19.32	17.72	19.64
18.96	18.2	18.88	19.16	18.84	19	19.28	19.68	18.76	18.28	19.36
19.16	18.76	19.4	19.28	18.8	18.64	18.52	18.76	20.2	17.96	20.32
18.8	19.24	19.12	18.72	17.96	19.04	17.84	18.6	18.12	19.04	18.84
19.04	19.8	17.96	18.64	19.56	18.48	18.96	19.12	19.8	19.32	19.12
18.8	18.92	18	18.72	19	19.24	18.44	18.52	18.84	18.04	19.52
18.8	19.76	18.76	18.88	19.8	18.52	18.88	17.72	18.96	19.32	18.56
19.24	18.64	18.44	18.76	18.6	18.88	18.32	19.28	19.4	19.48	19.04
19.84	18.56	19.92	18.92	19.32	18.84	17.92	19.04	19.88	19.04	19.44
18.84	19.64	19.4	19.12	19.16	19.04	19	18.8	18.96	18.36	18.84
18.76	19.64	18.12	19.52	18.6	18.76	18.68	19.16	18.48	18.76	19.24
19	19.52	18.72	18.68	18.96	18.4	18.44	18.8	19.28	18.6	19.36
18.76	18.44	19.52	19.52	19.08	18.8	19.72	19.36	18.56	18.48	19.4
19.08	18.68	19.8	18.88	18.68	18.8	19.72	18.8	19.52	19.16	19.08
19.48	19.76	19.56	19.6	19.2	18.96	18.84	19.12	18.88	18.88	18.96
19.12	19.28	19.04	18.68	19.88	18.24	19.68	19.76	18.28	19.88	18.64
19.08	19.4	18.92	18.84	19.56	19	19.4	19.88	18.6	19.64	19.28
19.08	19.08	18.88	18.92	18.84	18.16	18.76	18.92	19.56	19.44	18.8
0	previous	instance:	data/A-n33-k5.vrp							
1611	1443	1578	1608	1609	1452	1542	1584	1493	1489	1595
1642	1563	1581	1634	1722	1552	1550	1661	1604	1578	1676
1644	1592	1590	1643	1731	1610	1589	1663	1609	1579	1681
1712	1617	1622	1654	1783	1637	1643	1684	1632	1582	1699
1719	1618	1672	1665	1788	1655	1690	1693	1645	1631	1709
1726	1632	1678	1724	1809	1675	1722	1697	1695	1643	1754
1766	1642	1720	1745	1832	1689	1790	1702	1728	1673	1764
1775	1693	1722	1768	1833	1719	1797	1702	1729	1677	1767
1786	1698	1771	1793	1842	1722	1810	1706	1731	1719	1779
1813	1739	1805	1794	1851	1725	1820	1719	1746	1778	1781
1813	1770	1807	1823	1855	1756	1822	1720	1772	1810	1819
1819	1772	1812	1831	1880	1852	1841	1737	1803	1839	1828
1832	1824	1813	1850	1897	1857	1854	1757	1809	1854	1833
1841	1834	1843	1855	1903	1876	1869	1763	1820	1868	1859
1851	1847	1890	1855	1917	1883	1882	1778	1851	1914	1868
1877	1850	1899	1872	1920	1913	1898	1801	1855	1918	1893
1960	1854	1906	1893	1930	1965	1905	1812	1857	1921	1923
1989	1862	1939	1927	1947	1972	1916	1814	1889	1926	1942
1995	1878	1969	1961	1961	1978	1917	1827	1901	1984	1957
